Breed,Country of Origin,Fur Color,Height,Color of Eyes,Longevity,Character Traits,Common Health Problems
Labrador Retriever,Canada,Yellow,21-24,Brown,10-12,Loyal,Hip dysplasia
Labrador Retriever,Canada,Yellow,21-24,Brown,10-12,Loyal,obesity
Labrador Retriever,Canada,Yellow,21-24,Brown,10-1 2,friendly,Hip dysplasia
Labrador Retriever,Canada,Yellow,21-24,Brown,10-12,friendly,obesity
Labrador Retriever,Canada,Yellow,21-24,Brown,10-12,friendly,ear infections
Labrador Retriever,Canada,Yellow,21-24,Brown,10-12,intelligent,Hip dysplasia
Labrador Retriever,Canada,Yellow,21-24,Brown,10-12,intelligent,obesity
Labrador Retriever,Canada,Yellow,21-24,Brown,10-12,intelligent,ear infections
Labrador Retriever,Canada,Yellow,21-24,Brown,10-12,energetic,Hip dysplasia
Labrador Retriever,Canada,Yellow,21-24,Brown,10-12,energetic,obesity
Labrador Retriever,Canada,Yellow,21-24,Brown,10-12,energetic,ear infections
Labrador Retriever,Canada,Yellow,21-24,Brown,10-12,good-natured,Hip dysplasia
Labrador Retriever,Canada,Yellow,21-24,Brown,10-12,good-natured,obesity
Labrador Retriever,Canada,Yellow,21-24,Brown,10-12,good-natured,ear infections
Labrador Retriever,Canada,Black,21-24,Brown,10-12,Loyal,Hip dysplasia
Labrador Retriever,Canada,Black,21-24,Brown,10-12,Loyal,obesity
Labrador Retriever,Canada,Black,21-24,Brown,10-12,Loyal,ear infections
Labrador Retriever,Canada,Black,21-24,Brown,10-12,friendly,Hip dysplasia
Labrador Retriever,Canada,Black,21-24,Brown,10-12,friendly,obesity
Labrador Retriever,Canada,Black,21-24,Brown,10-12,friendly,ear infections
Labrador Retriever,Canada,Black,21-24,Brown,10-12,intelligent,Hip dysplasia
Labrador Retriever,Canada,Black,21-24,Brown,10-12,intelligent,obesity
Labrador Retriever,Canada,Black,21-24,Brown,10-12,intelligent,ear infections
Labrador Retriever,Canada,Black,21-24,Brown,10-12,energetic,Hip dysplasia
Labrador Retriever,Canada,Black,21-24,Brown,10-12,energetic,obesity
Labrador Retriever,Canada,Black,21-24,Brown,10-12,energetic,ear infections
Labrador Retriever,Canada,Black,21-24,Brown,10-12,good-natured,Hip dysplasia
Labrador Retriever,Canada,Black,21-24,Brown,10-12,good-natured,obesity
Labrador Retriever,Canada,Black,21-24,Brown,10-12,good-natured,ear infections
Labrador Retriever,Canada,Chocolate,21-24,Brown,10-12,Loyal,Hip dysplasia
Labrador Retriever,Canada,Chocolate,21-24,Brown,10-12,Loyal,obesity
Labrador Retriever,Canada,Chocolate,21-24,Brown,10-12,Loyal,ear infections
Labrador Retriever,Canada,Chocolate,21-24,Brown,10-12,friendly,Hip dysplasia
Labrador Retriever,Canada,Chocolate,21-24,Brown,10-12,friendly,obesity
Labrador Retriever,Canada,Chocolate,21-24,Brown,10-12,friendly,ear infections
Labrador Retriever,Canada,Chocolate,21-24,Brown,10-12,intelligent,Hip dysplasia
Labrador Retriever,Canada,Chocolate,21-24,Brown,10-12,intelligent,obesity
Labrador Retriever,Canada,Chocolate,21-24,Brown,10-12,intelligent,ear infections
Labrador Retriever,Canada,Chocolate,21-24,Brown,10-12,energetic,Hip dysplasia
Labrador Retriever,Canada,Chocolate,21-24,Brown,10-12,energetic,obesity
Labrador Retriever,Canada,Chocolate,21-24,Brown,10-12,energetic,ear infections
Labrador Retriever,Canada,Chocolate,21-24,Brown,10-12,good-natured,Hip dysplasia
Labrador Retriever,Canada,Chocolate,21-24,Brown,10-12,good-natured,obesity
Labrador Retriever,Canada,Chocolate,21-24,Brown,10-12,good-natured,ear infections
German Shepherd,Germany,Black,22-26,Brown,7-10,Loyal,Hip dysplasia
German Shepherd,Germany,Black,22-26,Brown,7-10,Loyal,elbow dysplasia
German Shepherd,Germany,Black,22-26,Brown,7-10,Loyal,pancreatitis
German Shepherd,Germany,Black,22-26,Brown,7-10,intelligent,Hip dysplasia
German Shepherd,Germany,Black,22-26,Brown,7-10,intelligent,elbow dysplasia
German Shepherd,Germany,Black,22-26,Brown,7-10,intelligent,pancreatitis
German Shepherd,Germany,Black,22-26,Brown,7-10,protective,Hip dysplasia
German Shepherd,Germany,Black,22-26,Brown,7-10,protective,elbow dysplasia
German Shepherd,Germany,Black,22-26,Brown,7-10,protective,pancreatitis
German Shepherd,Germany,Black,22-26,Brown,7-10,confident,Hip dysplasia
German Shepherd,Germany,Black,22-26,Brown,7-10,confident,elbow dysplasia
German Shepherd,Germany,Black,22-26,Brown,7-10,confident,pancreatitis
German Shepherd,Germany,Black,22-26,Brown,7-10,trainable,Hip dysplasia
German Shepherd,Germany,Black,22-26,Brown,7-10,trainable,elbow dysplasia
German Shepherd,Germany,Black,22-26,Brown,7-10,trainable,pancreatitis
German Shepherd,Germany,Tan,22-26,Brown,7-10,Loyal,Hip dysplasia
German Shepherd,Germany,Tan,22-26,Brown,7-10,Loyal,elbow dysplasia
German Shepherd,Germany,Tan,22-26,Brown,7-10,Loyal,pancreatitis
German Shepherd,Germany,Tan,22-26,Brown,7-10,intelligent,Hip dysplasia
German Shepherd,Germany,Tan,22-26,Brown,7-10,intelligent,elbow dysplasia
German Shepherd,Germany,Tan,22-26,Brown,7-10,intelligent,pancreatitis
German Shepherd,Germany,Tan,22-26,Brown,7-10,protective,Hip dysplasia
German Shepherd,Germany,Tan,22-26,Brown,7-10,protective,elbow dysplasia
German Shepherd,Germany,Tan,22-26,Brown,7-10,protective,pancreatitis
German Shepherd,Germany,Tan,22-26,Brown,7-10,confident,Hip dysplasia
